id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist,geometry,flag
8335,2022-08-01 10:39:58,2022-08-01 10:43:27,2022-08-01 10:43:27,2022-08-01 10:19:13,113.99816100000001,22.603332,0,45,65926.9,2,1,1,868,POINT (113.998161 22.603332),2_1
8421,2022-08-01 10:41:56,2022-08-01 10:43:27,2022-08-01 10:43:28,2022-08-01 07:19:03,113.99755,22.610607,0,291,65969.7,1,0,1,520,POINT (113.99755 22.610607),1_1
8421,2022-08-01 10:41:56,2022-08-01 10:43:27,2022-08-01 10:43:28,2022-08-01 07:19:03,113.99755,22.610607,0,291,65969.7,1,0,1,520,POINT (113.99755 22.610607),1_1
8335,2022-08-01 10:39:58,2022-08-01 10:43:27,2022-08-01 10:43:27,2022-08-01 10:19:13,113.99816100000001,22.603332,0,45,65926.9,2,1,1,868,POINT (113.998161 22.603332),2_1
8330,2022-08-01 10:43:32,2022-08-01 10:43:32,2022-08-01 10:43:32,2022-08-01 06:51:48,113.9906,22.599073,17,56,70676.6,1,0,13,360,POINT (113.9906 22.599073),1_13
8330,2022-08-01 10:43:32,2022-08-01 10:43:32,2022-08-01 10:43:32,2022-08-01 06:51:48,113.9906,22.599073,17,56,70676.6,1,0,13,360,POINT (113.9906 22.599073),1_13
18447,2022-08-01 10:43:30,2022-08-01 10:43:33,2022-08-01 10:43:30,2022-07-30 11:42:10,113.99780200000001,22.605735,22,80,42169.4,2,1,11,78,POINT (113.997802 22.605735),2_11
8411,2022-08-01 10:43:30,2022-08-01 10:43:34,2022-08-01 10:43:30,2022-08-01 06:50:11,113.99558200000001,22.606666,20,288,51260.1,1,0,4,283,POINT (113.995582 22.606666),1_4
8371,2022-08-01 10:42:16,2022-08-01 10:43:34,2022-08-01 10:43:31,2022-08-01 06:55:55,113.9915,22.599565,0,87,74790.1,2,0,1,524,POINT (113.9915 22.599565),2_1
8371,2022-08-01 10:42:16,2022-08-01 10:43:34,2022-08-01 10:43:31,2022-08-01 06:55:55,113.9915,22.599565,0,87,74790.1,2,0,1,524,POINT (113.9915 22.599565),2_1
8371,2022-08-01 10:42:16,2022-08-01 10:43:34,2022-08-01 10:43:31,2022-08-01 06:55:55,113.9915,22.599565,0,87,74790.1,2,0,1,524,POINT (113.9915 22.599565),2_1
18447,2022-08-01 10:43:33,2022-08-01 10:43:36,2022-08-01 10:43:33,2022-07-30 11:42:10,113.99798500000001,22.605783,22,66,42169.4,2,0,12,530,POINT (113.997985 22.605783),2_12
8411,2022-08-01 10:43:36,2022-08-01 10:43:39,2022-08-01 10:43:36,2022-08-01 06:50:11,113.99536100000002,22.606714,11,255,51260.2,1,0,4,272,POINT (113.995361 22.606714),1_4
8330,2022-08-01 10:43:41,2022-08-01 10:43:41,2022-08-01 10:43:41,2022-08-01 06:51:48,113.990951,22.599258,19,60,70676.7,1,0,13,341,POINT (113.990951 22.599258),1_13
8330,2022-08-01 10:43:41,2022-08-01 10:43:41,2022-08-01 10:43:41,2022-08-01 06:51:48,113.990951,22.599258,19,60,70676.7,1,0,13,341,POINT (113.990951 22.599258),1_13
8335,2022-08-01 10:39:58,2022-08-01 10:43:42,2022-08-01 10:43:43,2022-08-01 10:19:13,113.99816799999999,22.603334,0,45,65926.9,2,1,1,868,POINT (113.998168 22.603334),2_1
8421,2022-08-01 10:41:56,2022-08-01 10:43:42,2022-08-01 10:43:43,2022-08-01 07:19:03,113.997543,22.610603,0,291,65969.7,1,0,1,520,POINT (113.997543 22.610603),1_1
8335,2022-08-01 10:39:58,2022-08-01 10:43:42,2022-08-01 10:43:43,2022-08-01 10:19:13,113.99816799999999,22.603334,0,45,65926.9,2,1,1,868,POINT (113.998168 22.603334),2_1
8421,2022-08-01 10:41:56,2022-08-01 10:43:42,2022-08-01 10:43:43,2022-08-01 07:19:03,113.997543,22.610603,0,291,65969.7,1,0,1,520,POINT (113.997543 22.610603),1_1
8411,2022-08-01 10:43:41,2022-08-01 10:43:44,2022-08-01 10:43:41,2022-08-01 06:50:11,113.99526200000001,22.606576,17,186,51260.2,1,0,4,254,POINT (113.995262 22.606576),1_4
8411,2022-08-01 10:43:41,2022-08-01 10:43:44,2022-08-01 10:43:41,2022-08-01 06:50:11,113.99526200000001,22.606576,17,186,51260.2,1,0,4,254,POINT (113.995262 22.606576),1_4
18447,2022-08-01 10:43:43,2022-08-01 10:43:46,2022-08-01 10:43:43,2022-07-30 11:42:10,113.99838999999999,22.605863,15,60,42169.5,2,0,12,552,POINT (113.99839 22.605863),2_12
8371,2022-08-01 10:42:16,2022-08-01 10:43:48,2022-08-01 10:43:46,2022-08-01 06:55:55,113.99149299999999,22.599567,0,87,74790.1,2,0,1,524,POINT (113.991493 22.599567),2_1
8371,2022-08-01 10:42:16,2022-08-01 10:43:48,2022-08-01 10:43:46,2022-08-01 06:55:55,113.99149299999999,22.599567,0,87,74790.1,2,0,1,524,POINT (113.991493 22.599567),2_1
18447,2022-08-01 10:43:46,2022-08-01 10:43:49,2022-08-01 10:43:46,2022-07-30 11:42:10,113.998474,22.605972,17,19,42169.5,2,0,12,540,POINT (113.998474 22.605972),2_12
18447,2022-08-01 10:43:46,2022-08-01 10:43:49,2022-08-01 10:43:46,2022-07-30 11:42:10,113.998474,22.605972,17,19,42169.5,2,0,12,540,POINT (113.998474 22.605972),2_12
8330,2022-08-01 10:43:55,2022-08-01 10:43:56,2022-08-01 10:43:55,2022-08-01 06:51:48,113.99119499999999,22.599384,9,64,70676.7,1,0,13,332,POINT (113.991195 22.599384),1_13
8335,2022-08-01 10:39:58,2022-08-01 10:43:57,2022-08-01 10:43:57,2022-08-01 10:19:13,113.99818400000001,22.603334,0,45,65926.9,2,1,1,868,POINT (113.998184 22.603334),2_1
8411,2022-08-01 10:43:54,2022-08-01 10:43:57,2022-08-01 10:43:54,2022-08-01 06:50:11,113.995246,22.606496,4,186,51260.2,1,0,4,246,POINT (113.995246 22.606496),1_4
8421,2022-08-01 10:41:56,2022-08-01 10:43:57,2022-08-01 10:43:58,2022-08-01 07:19:03,113.997543,22.610599,0,291,65969.7,1,0,1,520,POINT (113.997543 22.610599),1_1
8335,2022-08-01 10:39:58,2022-08-01 10:43:57,2022-08-01 10:43:57,2022-08-01 10:19:13,113.99818400000001,22.603334,0,45,65926.9,2,1,1,868,POINT (113.998184 22.603334),2_1
8421,2022-08-01 10:41:56,2022-08-01 10:43:57,2022-08-01 10:43:58,2022-08-01 07:19:03,113.997543,22.610599,0,291,65969.7,1,0,1,520,POINT (113.997543 22.610599),1_1
8421,2022-08-01 10:41:56,2022-08-01 10:43:57,2022-08-01 10:43:58,2022-08-01 07:19:03,113.997543,22.610599,0,291,65969.7,1,0,1,520,POINT (113.997543 22.610599),1_1
8335,2022-08-01 10:39:58,2022-08-01 10:43:57,2022-08-01 10:43:57,2022-08-01 10:19:13,113.99818400000001,22.603334,0,45,65926.9,2,1,1,868,POINT (113.998184 22.603334),2_1
8330,2022-08-01 10:44:00,2022-08-01 10:44:00,2022-08-01 10:44:00,2022-08-01 06:51:48,113.991401,22.5995,17,55,70676.7,1,1,13,324,POINT (113.991401 22.5995),1_13
8411,2022-08-01 10:43:59,2022-08-01 10:44:02,2022-08-01 10:43:59,2022-08-01 06:50:11,113.99513999999999,22.606344,17,241,51260.2,1,0,4,225,POINT (113.99514 22.606344),1_4
18447,2022-08-01 10:43:46,2022-08-01 10:44:03,2022-08-01 10:44:00,2022-07-30 11:42:10,113.998512,22.606176,0,9,42169.5,2,0,12,519,POINT (113.998512 22.606176),2_12
8371,2022-08-01 10:42:16,2022-08-01 10:44:03,2022-08-01 10:44:01,2022-08-01 06:55:55,113.99149299999999,22.599567,0,87,74790.1,2,0,1,524,POINT (113.991493 22.599567),2_1
8371,2022-08-01 10:42:16,2022-08-01 10:44:03,2022-08-01 10:44:01,2022-08-01 06:55:55,113.99149299999999,22.599567,0,87,74790.1,2,0,1,524,POINT (113.991493 22.599567),2_1
18447,2022-08-01 10:43:46,2022-08-01 10:44:03,2022-08-01 10:44:00,2022-07-30 11:42:10,113.998512,22.606176,0,9,42169.5,2,0,12,519,POINT (113.998512 22.606176),2_12
8371,2022-08-01 10:42:16,2022-08-01 10:44:03,2022-08-01 10:44:01,2022-08-01 06:55:55,113.99149299999999,22.599567,0,87,74790.1,2,0,1,524,POINT (113.991493 22.599567),2_1
8411,2022-08-01 10:44:07,2022-08-01 10:44:10,2022-08-01 10:44:07,2022-08-01 06:50:11,113.994651,22.606149,26,238,51260.3,1,1,4,177,POINT (113.994651 22.606149),1_4
8411,2022-08-01 10:44:07,2022-08-01 10:44:10,2022-08-01 10:44:07,2022-08-01 06:50:11,113.994651,22.606149,26,238,51260.3,1,1,4,177,POINT (113.994651 22.606149),1_4
8330,2022-08-01 10:44:10,2022-08-01 10:44:11,2022-08-01 10:44:10,2022-08-01 06:51:48,113.991699,22.59975,14,39,70676.8,1,1,13,309,POINT (113.991699 22.59975),1_13
8421,2022-08-01 10:41:56,2022-08-01 10:44:12,2022-08-01 10:44:13,2022-08-01 07:19:03,113.997543,22.610599,0,291,65969.7,1,0,1,520,POINT (113.997543 22.610599),1_1
8335,2022-08-01 10:39:58,2022-08-01 10:44:12,2022-08-01 10:44:13,2022-08-01 10:19:13,113.99818400000001,22.603336,0,45,65926.9,2,1,1,868,POINT (113.998184 22.603336),2_1
8335,2022-08-01 10:39:58,2022-08-01 10:44:12,2022-08-01 10:44:13,2022-08-01 10:19:13,113.99818400000001,22.603336,0,45,65926.9,2,1,1,868,POINT (113.998184 22.603336),2_1
8421,2022-08-01 10:41:56,2022-08-01 10:44:12,2022-08-01 10:44:13,2022-08-01 07:19:03,113.997543,22.610599,0,291,65969.7,1,0,1,520,POINT (113.997543 22.610599),1_1
18447,2022-08-01 10:43:46,2022-08-01 10:44:13,2022-08-01 10:44:10,2022-07-30 11:42:10,113.998504,22.606178,0,9,42169.5,2,0,12,519,POINT (113.998504 22.606178),2_12
8330,2022-08-01 10:44:13,2022-08-01 10:44:14,2022-08-01 10:44:13,2022-08-01 06:51:48,113.991775,22.599845000000002,15,33,70676.8,1,1,13,301,POINT (113.991775 22.599845),1_13
8371,2022-08-01 10:42:16,2022-08-01 10:44:18,2022-08-01 10:44:16,2022-08-01 06:55:55,113.99149299999999,22.599569,0,87,74790.1,2,0,1,524,POINT (113.991493 22.599569),2_1
8371,2022-08-01 10:42:16,2022-08-01 10:44:18,2022-08-01 10:44:16,2022-08-01 06:55:55,113.99149299999999,22.599569,0,87,74790.1,2,0,1,524,POINT (113.991493 22.599569),2_1
8330,2022-08-01 10:44:21,2022-08-01 10:44:21,2022-08-01 10:44:21,2022-08-01 06:51:48,113.99192,22.600101000000002,14,20,70676.8,1,1,13,283,POINT (113.99192 22.600101),1_13
18447,2022-08-01 10:44:18,2022-08-01 10:44:21,2022-08-01 10:44:18,2022-07-30 11:42:10,113.99861899999999,22.606416,21,28,42169.5,2,1,12,494,POINT (113.998619 22.606416),2_12
8330,2022-08-01 10:44:21,2022-08-01 10:44:21,2022-08-01 10:44:21,2022-08-01 06:51:48,113.99192,22.600101000000002,14,20,70676.8,1,1,13,283,POINT (113.99192 22.600101),1_13
18447,2022-08-01 10:44:18,2022-08-01 10:44:21,2022-08-01 10:44:18,2022-07-30 11:42:10,113.99861899999999,22.606416,21,28,42169.5,2,1,12,494,POINT (113.998619 22.606416),2_12
8411,2022-08-01 10:44:20,2022-08-01 10:44:23,2022-08-01 10:44:20,2022-08-01 06:50:11,113.99386499999999,22.605678,25,238,51260.4,1,1,4,96,POINT (113.993865 22.605678),1_4
8411,2022-08-01 10:44:20,2022-08-01 10:44:23,2022-08-01 10:44:20,2022-08-01 06:50:11,113.99386499999999,22.605678,25,238,51260.4,1,1,4,96,POINT (113.993865 22.605678),1_4
8421,2022-08-01 10:41:56,2022-08-01 10:44:27,2022-08-01 10:44:28,2022-08-01 07:19:03,113.997543,22.610599,0,291,65969.7,1,0,1,520,POINT (113.997543 22.610599),1_1
8335,2022-08-01 10:39:58,2022-08-01 10:44:27,2022-08-01 10:44:27,2022-08-01 10:19:13,113.998176,22.603345,0,45,65926.9,2,1,1,868,POINT (113.998176 22.603345),2_1
8335,2022-08-01 10:39:58,2022-08-01 10:44:27,2022-08-01 10:44:27,2022-08-01 10:19:13,113.998176,22.603345,0,45,65926.9,2,1,1,868,POINT (113.998176 22.603345),2_1
8421,2022-08-01 10:41:56,2022-08-01 10:44:27,2022-08-01 10:44:28,2022-08-01 07:19:03,113.997543,22.610599,0,291,65969.7,1,0,1,520,POINT (113.997543 22.610599),1_1
