id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,it,route_dir,route_flag,route_sn,route_dist,route_code
8345,2022-08-02 15:14:21,2022-08-02 15:14:24,2022-08-02 15:14:21,2022-08-02 06:48:47,113.99744399999999,22.605798,21,299,54611.0,0.0,2,1,12,551,201
8371,2022-08-02 15:14:26,2022-08-02 15:14:29,2022-08-02 15:14:26,2022-08-02 13:47:56,113.99364399999999,22.605075,21,153,74918.6,0.0,1,1,5,427,202
8470,2022-08-02 15:14:30,2022-08-02 15:14:31,2022-08-02 15:14:30,2022-08-02 14:49:09,113.99176000000001,22.599775,17,33,61940.7,0.0,1,1,13,309,201
18447,2022-08-02 15:13:56,2022-08-02 15:14:23,2022-08-02 15:14:20,2022-08-02 07:24:20,113.99553600000002,22.606320999999998,0,90,42287.6,0.0,2,1,1,656,202
8345,2022-08-02 15:14:15,2022-08-02 15:14:18,2022-08-02 15:14:15,2022-08-02 06:48:47,113.99778700000002,22.605762,21,262,54611.0,0.0,2,1,12,556,201
8371,2022-08-02 15:14:08,2022-08-02 15:14:12,2022-08-02 15:14:08,2022-08-02 13:47:56,113.993881,22.605653,23,236,74918.5,0.0,1,0,5,476,202
8470,2022-08-02 15:14:16,2022-08-02 15:14:17,2022-08-02 15:14:16,2022-08-02 14:49:09,113.99124099999999,22.599367,12,60,61940.6,0.0,1,0,13,335,201
18447,2022-08-02 15:13:56,2022-08-02 15:14:14,2022-08-02 15:14:11,2022-08-02 07:24:20,113.995521,22.606310999999998,0,90,42287.6,0.0,2,1,1,656,202
8267,2022-08-02 14:46:34,2022-08-02 14:46:59,2022-08-02 14:46:34,2022-08-02 13:27:52,113.99169099999999,22.601465,24,133,75423.4,,2,1,12,1164,201
8330,2022-08-02 14:49:03,2022-08-02 14:49:06,2022-08-02 14:49:03,2022-08-02 11:58:18,113.99641399999999,22.602945000000002,25,267,70796.0,,2,0,9,331,201
8345,2022-08-02 14:49:04,2022-08-02 14:49:08,2022-08-02 14:49:04,2022-08-02 06:48:47,113.997924,22.598863,24,218,54605.1,,1,1,9,526,201
8371,2022-08-02 14:46:39,2022-08-02 14:49:12,2022-08-02 14:49:09,2022-08-02 13:47:56,113.990303,22.60313,0,164,74913.0,,2,0,1,0,201
8458,2022-08-02 14:49:05,2022-08-02 14:49:08,2022-08-02 14:49:05,2022-08-02 12:49:46,113.99639099999999,22.606158999999998,17,111,66287.2,,2,1,1,732,202
18447,2022-08-02 14:47:38,2022-08-02 14:49:11,2022-08-02 14:49:08,2022-08-02 07:24:20,113.99753500000001,22.610588,0,121,42281.6,,1,0,1,533,201
8267,2022-08-02 14:33:17,2022-08-02 14:33:55,2022-08-02 14:33:17,2022-08-02 13:27:52,113.99049299999999,22.597054999999997,11,130,75419.2,,2,1,3,168,201
8330,2022-08-02 14:34:16,2022-08-02 14:34:19,2022-08-02 14:34:16,2022-08-02 11:58:18,113.991447,22.599467999999998,18,56,70792.6,,1,1,13,329,201
8345,2022-08-02 14:34:19,2022-08-02 14:34:19,2022-08-02 14:34:19,2022-08-02 06:48:47,113.997047,22.605909,22,111,54601.9,,2,1,11,150,201
8371,2022-08-02 14:34:14,2022-08-02 14:34:17,2022-08-02 14:34:14,2022-08-02 13:47:56,113.99488799999999,22.606222,22,248,74909.5,,1,1,4,197,201
8421,2022-08-02 14:31:46,2022-08-02 14:34:18,2022-08-02 14:34:18,2022-08-02 14:24:29,113.99148500000001,22.599501999999998,0,130,66060.0,,2,0,1,518,202
8458,2022-08-02 14:34:13,2022-08-02 14:34:17,2022-08-02 14:34:13,2022-08-02 12:49:46,113.993858,22.605625,22,237,66285.0,,1,0,5,473,202
18447,2022-08-02 14:32:40,2022-08-02 14:34:12,2022-08-02 14:34:09,2022-08-02 07:24:20,113.99738300000001,22.610671,0,180,42281.6,,1,0,1,0,201
8267,2022-08-02 15:32:18,2022-08-02 15:32:23,2022-08-02 15:32:18,2022-08-02 13:27:52,113.998603,22.608601999999998,24,155,75426.1,0.0,1,1,1,285,201
8421,2022-08-02 15:31:46,2022-08-02 15:32:19,2022-08-02 15:32:16,2022-08-02 14:24:29,113.99755800000001,22.610609,0,81,66062.1,0.0,1,0,1,0,201
8470,2022-08-02 15:32:18,2022-08-02 15:32:21,2022-08-02 15:32:18,2022-08-02 14:49:09,113.99485,22.606178,22,65,61944.6,0.0,2,1,10,91,201
18447,2022-08-02 15:32:18,2022-08-02 15:32:21,2022-08-02 15:32:18,2022-08-02 07:24:20,113.99341499999998,22.603519,23,78,42291.1,0.0,2,1,1,363,202
8267,2022-08-02 14:58:57,2022-08-02 14:59:15,2022-08-02 14:59:11,2022-08-02 13:27:52,113.99558999999999,22.606367000000002,0,86,75424.8,,2,0,11,304,201
8345,2022-08-02 14:55:51,2022-08-02 14:59:09,2022-08-02 14:59:06,2022-08-02 06:48:47,113.99056999999999,22.60341,0,255,54607.1,,1,1,13,134,201
