id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8147,2022-08-01 08:58:49,2022-08-01 09:00:03,2022-08-01 09:00:04,2022-08-01 08:27:32,113.997489,22.610559,0,54,66233.9,1,0,1,526
8330,2022-08-01 09:00:15,2022-08-01 09:00:15,2022-08-01 09:00:15,2022-08-01 06:51:48,113.992042,22.600549,24,183,70657.8,1,1,5,430
8335,2022-08-01 09:00:10,2022-08-01 09:00:10,2022-08-01 09:00:10,2022-08-01 07:58:08,113.999504,22.600051,9,249,65919.3,1,1,2,754
8365,2022-08-01 09:00:09,2022-08-01 09:00:09,2022-08-01 09:00:09,2022-08-01 06:58:33,113.996551,22.602975,23,266,59553.3,2,0,9,341
8371,2022-08-01 09:00:05,2022-08-01 09:00:08,2022-08-01 09:00:05,2022-08-01 06:55:55,113.991577,22.601646,14,27,74770.8,1,1,13,127
8411,2022-08-01 08:59:52,2022-08-01 09:00:10,2022-08-01 09:00:07,2022-08-01 06:50:11,113.99488,22.595729,0,62,51240.3,2,0,5,691
8421,2022-08-01 09:00:13,2022-08-01 09:00:13,2022-08-01 09:00:13,2022-08-01 07:19:03,113.994415,22.605913,24,54,65952.0,2,0,3,531
8458,2022-08-01 09:00:11,2022-08-01 09:00:15,2022-08-01 09:00:11,2022-08-01 06:50:50,113.995292,22.60667,16,220,66158.7,1,0,4,239
8470,2022-08-01 09:00:14,2022-08-01 09:00:13,2022-08-01 09:00:14,2022-08-01 06:34:14,113.998847,22.607273,25,6,61827.7,2,1,12,407
18447,2022-08-01 09:00:11,2022-08-01 09:00:15,2022-08-01 09:00:11,2022-07-30 11:42:10,113.99842,22.599302,24,233,42146.2,1,1,9,598
